Player Name,DHRUV_BEST_TA's Owner
Total Play Time,0
Current Score,0
last time play was used,1743700162870
last time player went to vet,1743700162870
Pets,Name,Type,Health,Happiness,Fullness,Sleep,Is Sleeping,Is Hungry,Is Angry,Is Dead
Current Pet,DHRUV_BEST_TA,DOG,100,100,100,100,false,false,false,false
Food Items,Name,Fullness Value,Quantity
Food Item,Ramen,30,5
Food Item,Smoothie,10,15
Food Item,Apple,5,20
Food Item,Taco,20,10
Gift Items,Name,Happiness Value,Quantity
Gift Item,Hat,30,5
Gift Item,Ball,5,20
Gift Item,Flowers,20,10
Gift Item,Cards,10,15
